municipio;codigo_unidade_gestora;descricao_unidade_gestora;numero_empenho;data_empenho;mes;cpf_cnpj;nome_credor;valor_empenhado;valor_liquidado;valor_pago;codigo_unidade_orcamentaria;descricao_unidade_orcamentaria;codigo_funcao;funcao;codigo_subfuncao;subfuncao;codigo_programa;programa;codigo_acao;acao;codigo_categoria_economica;categoria_economica;codigo_natureza;grupo_natureza_despesa;codigo_modalidade_aplicacao;modalidade_aplicacao;codigo_elemento_despesa;elemento_despesa;codigo_subelemento;codigo_subelemento_exibicao;numero_licitacao;modalidade_licitacao;numero_obra;historico;codigo_fonte_recurso;descricao_fonte_recurso;ano_fonte;co;descricao_co
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;1;2025-01-02;01-Janeiro;00000000000191;BANCO DO BRASIL;5,8;5,8;5,8;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;057;SERVIÇOS BANCÁRIOS;000000000;Sem Licitação;00000000;Valor que se empenha referente a tarifa bancaria conforme extrato;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;2;2025-01-03;01-Janeiro;00000000000191;BANCO DO BRASIL;20,4;20,4;20,4;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;057;SERVIÇOS BANCÁRIOS;000000000;Sem Licitação;00000000;Valor que se empenha referente a tarifa bancaria conforme extrato;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;5;2025-01-16;01-Janeiro;25433626000112;FABIO GOMES CORREIA 02534171470;2.100;2.100;2.100;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;061;OUTROS SERVIÇOS DE TERCEIROS, PESSOA JURÍDICA;000000000;Sem Licitação;00000000;VALOR QUE SE EMPENHA EM FACE DE PRESTACAO DE SERVICOS EM COFECCAO DE CALENDARIOS E CARIMBOS;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;6;2025-01-16;01-Janeiro;09123654008161;COMPANHIA DE AGUA E ESGOTOS DA PARAIBA CAGEPA;103,12;103,12;103,12;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;050;SERVIÇOS DE ÁGUA E ESGOTO;000000000;Sem Licitação;00000000;VALOR QUE SE EMPENHA RELATIVO AO CONSUMO DE AGUA E ESGOSTO REFERENTE A COMPETENCIA DE;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;7;2025-01-16;01-Janeiro;04601397000128;BRISANET SERVICOS DE TELECOMUNICACOES S.A.;199,9;199,9;199,9;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;061;OUTROS SERVIÇOS DE TERCEIROS, PESSOA JURÍDICA;000000000;Sem Licitação;00000000;VALOR QUE SE EMPENHA RELATIVO AO SERVICOS PRESTADOS DE FORNECIMENTO DE INTERNET REFERENTE A COMPETENCIA DO MES DE;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;4;2025-01-16;01-Janeiro;09158643000213;LOJAO DA ECONOMICA MATERIAIS DE CONSTRUCAO LTDA;1.265;1.265;1.265;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;30;Material de Consumo;010;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;000000000;Sem Licitação;00000000;Valor que se empenha em face de aquisicao de material para manutencao do predio desta Autarquia;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;3;2025-01-16;01-Janeiro;00000000000191;BANCO DO BRASIL;22;22;22;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;057;SERVIÇOS BANCÁRIOS;000000000;Sem Licitação;00000000;Valor que se empenha referente a tarifa bancaria conforme extrato;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;9;2025-01-17;01-Janeiro;21553674000193;SUNDRY COMERCIO VAREJISTA LTDA - EPP;1.463,3;1.463,3;1.463,3;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;30;Material de Consumo;007;MATERIAL DE EXPEDIENTE;000000000;Sem Licitação;00000000;Valor que se empenha para fazer face a aquisicao de material de expediente;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;10;2025-01-17;01-Janeiro;09123654008161;COMPANHIA DE AGUA E ESGOTOS DA PARAIBA CAGEPA;0;0;0;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;050;SERVIÇOS DE ÁGUA E ESGOTO;000000000;Sem Licitação;00000000;VALOR QUE SE EMPENHA RELATIVO AO CONSUMO DE AGUA E ESGOSTO REFERENTE A COMPETENCIA DE;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
Bayeux;301025;Instituto de Prev. e Assistência dos Serv. Pub. do Mun. de Bayeux;8;2025-01-17;01-Janeiro;04601397000128;BRISANET SERVICOS DE TELECOMUNICACOES S.A.;0;0;0;02011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS;4;Administração;272;Previdência do Regime Estatutário;2019;APOIO ADMINISTRATIVO DO IPAM;2113;ADMINISTRACAO DO INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS -;3;Despesa Corrente;3;Outras Despesas Correntes;90;Aplicações Diretas;39;Outros Serviços de Terceiros - Pessoa Jurídica;061;OUTROS SERVIÇOS DE TERCEIROS, PESSOA JURÍDICA;000000000;Sem Licitação;00000000;VALOR QUE SE EMPENHA RELATIVO AO SERVICOS PRESTADOS DE FORNECIMENTO DE INTERNET REFERENTE A COMPETENCIA DO MES DE;802;Recursos vinculados ao RPPS - Taxa de Administração;1;;
